"NR_all_97662.1","9LUV|1|D","9LUV|1|D,9LUV|1|C"
"NR_all_82907.1","6ZU5|1|S60","6ZU5|1|S60"
"NR_all_28858.1","6ZVK|1|E1","6ZVK|1|E1"
"NR_all_59615.3","3J0O|1|h","3J0O|1|h,3J0L|1|h,3J0P|1|h,3J0Q|1|h"
"NR_all_79284.1","6TMF|1|A","6TMF|1|A"
"NR_all_60024.1","6ZWW|1|D","6ZWW|1|D"
"NR_all_75614.1","2XEB|1|A+2XEB|1|B","2XEB|1|A+2XEB|1|B"
"NR_all_12236.1","6ZWW|1|H","6ZWW|1|H"
"NR_all_11258.1","2XGJ|1|C","2XGJ|1|C"
"NR_all_52978.4","6N6C|1|D","6N6C|1|D,6N6J|1|C,6N6J|1|D,7MPM|1|B,7MPM|1|H,7MPM|1|L,7MPM|1|F,7MPM|1|J,7MPM|1|D,7MPM|1|P,5O4Z|1|B,7MPM|1|N,6P7Q|1|E,6P7Q|1|F,6P7Q|1|D,8JBB|1|D,5XSP|1|C,5XSP|1|D,6RCL|1|C,8JBB|1|C,9EBT|1|C,9EBT|1|D,5JJU|1|C,8Y7G|1|E,8Y7G|1|D,9MMW|1|Q,9MMW|1|D,9MMW|1|C,9MMW|1|T,9MMW|1|I,9MMW|1|J,9OFE|1|J,9OFD|1|C,9OFC|1|C,9OFC|1|N,9OFC|1|J,9OFE|1|D,9OFB|1|C,9OFD|1|D,9OFC|1|D,9OFC|1|I,9OFB|1|D,9OFE|1|C,3J0L|1|w,3J0O|1|w,9OFE|1|I,9OFC|1|M,3J0Q|1|w,4EJT|1|G,3J0P|1|w"
"NR_all_40124.3","6ZYM|1|Z","6ZYM|1|Z,7AAV|1|Z,7A5P|1|Y"
"NR_all_80967.1","2XKV|1|B","2XKV|1|B"
"NR_all_78195.2","6TQN|1|R+6TQN|1|K+6TQN|1|L","6TQN|1|R+6TQN|1|K+6TQN|1|L,6TQO|1|R+6TQO|1|K+6TQO|1|L"
"NR_all_58981.1","6TY9|1|N+6TY9|1|T","6TY9|1|N+6TY9|1|T"
"NR_all_22270.1","7A3Y|1|A+7A3Y|1|B","7A3Y|1|A+7A3Y|1|B"
"NR_all_39338.1","6TZ1|1|N","6TZ1|1|N"
"NR_all_24558.1","2XNR|1|C","2XNR|1|C"
"NR_all_95409.3","1UVM|1|D","1UVM|1|D,1UVM|1|F,1UVM|1|E"
"NR_all_44600.3","2XS5|1|D","2XS5|1|D,2XS5|1|C"
"NR_all_84250.1","6U6Y|1|E","6U6Y|1|E"
"NR_all_12819.1","2XS7|1|B","2XS7|1|B"
"NR_all_05533.1","6U6Y|1|G","6U6Y|1|G"
"NR_all_41020.1","6U79|1|A","6U79|1|A"
"NR_all_89906.4","3WFS|1|A","3WFS|1|A,5HC9|1|D,3WFS|1|B,3WFQ|1|B,3WFQ|1|A,4WC2|1|B,5HC9|1|C,4WC3|1|B,3WFQ|1|C,1VFG|1|D,1VFG|1|C,3WFQ|1|D,4X0B|1|B,3WFR|1|C,4WC7|1|B,3WFR|1|A,4WC5|1|B,3WFR|1|B,4WC4|1|B,4X0A|1|B,4WC6|1|B,3WFR|1|D"
"NR_all_26157.1","2XZO|1|D","2XZO|1|D"
"NR_all_78183.1","2Y8Y|1|B","2Y8Y|1|B"
"NR_all_76116.1","7A5G|1|i4","7A5G|1|i4"
"NR_all_74364.3","6UES|1|A","6UES|1|A,6UET|1|A"
"NR_all_72322.3","2Y9H|1|F","2Y9H|1|F,2Y9H|1|B"
"NR_all_40219.1","6UFG|1|A+6UFG|1|B","6UFG|1|A+6UFG|1|B"
"NR_all_24738.3","2Y9H|1|H","2Y9H|1|H,2Y9H|1|D"
"NR_all_44698.1","6UFM|1|A","6UFM|1|A"
"NR_all_46586.3","2Y9H|1|J","2Y9H|1|J,2Y9H|1|L"
"NR_all_92029.3","6UGI|1|A","6UGI|1|A,6UGJ|1|A"
"NR_all_15533.3","2Y9H|1|N","2Y9H|1|N,2Y9H|1|P"
"NR_all_83142.1","6URO|1|D","6URO|1|D"
"NR_all_85410.1","2YH1|1|B","2YH1|1|B"
"NR_all_43929.1","6UV1|1|C","6UV1|1|C"
"NR_all_38607.1","7A9W|1|B","7A9W|1|B"
"NR_all_16093.1","6UV2|1|C","6UV2|1|C"
"NR_all_59092.1","7AAP|1|T+7AAP|1|P","7AAP|1|T+7AAP|1|P"
"NR_all_49405.1","1VOP|1|A","1VOP|1|A"
"NR_all_73160.1","6UV4|1|C","6UV4|1|C"
"NR_all_22035.1","7ABZ|1|4","7ABZ|1|4"
"NR_all_22508.1","2KRZ|1|A","2KRZ|1|A"
"NR_all_96169.5","7UW1|1|A","7UW1|1|A,7UVZ|1|A,7UVY|1|A,7UVX|1|A,7UVW|1|A,6YSI|1|1,7UVV|1|A,7RYG|1|A,6YHS|1|1,7M4Y|1|A,7M4V|1|A,7RYH|1|A,7M4W|1|A,7M4X|1|A,7RYF|1|A,6V3A|1|AN1,7M4Z|1|A,6V3B|1|AN1,6V3D|1|AN1,6V39|1|AN1"
"NR_all_36650.5","7XWZ|1|C+7XWZ|1|D","7XWZ|1|C+7XWZ|1|D,7XWZ|1|E,7ACS|1|B+7ACS|1|C"
"NR_all_65230.1","2KU0|1|A","2KU0|1|A"
"NR_all_78624.1","1VQL|1|4","1VQL|1|4"
"NR_all_32754.1","2KVN|19|A","2KVN|19|A"
"NR_all_42738.1","7AIH|1|1","7AIH|1|1"
"NR_all_63152.1","1VQN|1|4","1VQN|1|4"
"NR_all_28654.1","2KX5|1|A","2KX5|1|A"
"NR_all_69305.1","7AM2|1|R1","7AM2|1|R1"
"NR_all_44831.2","4L47|1|QY","4L47|1|QY,4L47|1|XY,4L71|1|XY,4LFZ|1|QY,4LFZ|1|XY,4L71|1|QY,1VVJ|1|XY,1VVJ|1|QY"
"NR_all_05394.2","2N0J|10|A","2N0J|10|A,2MXS|16|A,2KXM|1|A"
"NR_all_93407.1","7ANE|1|1","7ANE|1|1"
"NR_all_70878.1","7AOR|1|2","7AOR|1|2"
"NR_all_40109.1","2KXZ|1|A+2KXZ|1|B","2KXZ|1|A+2KXZ|1|B"
"NR_all_73930.3","2YJY|1|C","2YJY|1|C,2YJY|1|D"
"NR_all_92412.4","7AQC|1|P","7AQC|1|P,7AS8|1|2,7AQC|1|T,7OPE|1|2,9J5O|1|B,7AQD|1|T,7AS9|1|2,7ASA|1|2,8S1P|1|a,8S1U|1|a,8S1U|1|c"
"NR_all_78444.1","2KY1|1|A+2KY1|1|B","2KY1|1|A+2KY1|1|B"
"NR_all_91231.3","3VYX|1|B+3VYX|1|C","3VYX|1|B+3VYX|1|C,4BPB|1|C+4BPB|1|D,2YKG|1|C+2YKG|1|D,3VYY|1|C+3VYY|1|D,3ZD7|1|C+3ZD7|1|D,3ZD6|1|C+3ZD6|1|D,3VYY|1|E+3VYY|1|F,3VYY|1|G"
"NR_all_97519.79","9NO7|1|A","9NO7|1|A,9DFE|1|1A,9D0J|1|1A,9DFE|1|2A,8VTW|1|1A,9DFC|1|1A,8VTW|1|2A,9MTP|1|1A,9D0I|1|1A,9MTQ|1|1A,9DFD|1|1A,9MTS|1|1A,7RQB|1|1A,9D0H|1|1A,7RQB|1|2A,9MTT|1|1A,9O3K|1|1A,8FC6|1|1A,9D0G|1|1A,8FC5|1|1A,8FC6|1|2A,9DFC|1|2A,8FC5|1|2A,9D0J|1|2A,8FC2|1|1A,8FC3|1|1A,8FC2|1|2A,9MTQ|1|2A,8VTY|1|1A,9D7R|1|1A,9MTP|1|2A,8UD7|1|1A,9MTS|1|2A,9DFD|1|2A,8FC1|1|1A,8FC3|1|2A,4Y4O|1|1A,8G2A|1|1A,8G2C|1|1A,4Y4O|1|2A,9MTT|1|2A,8VTY|1|2A,9D7T|1|1A,8VTU|1|1A,9D7S|1|1A,8UD7|1|2A,8FC1|1|2A,9MTR|1|1A,9O3K|1|2A,5FDV|1|1A,8G2A|1|2A,5FDU|1|1A,8G2C|1|2A,9O3H|1|1A,8UD6|1|1A,8VTU|1|2A,9D0I|1|2A,8G29|1|1A,9O3J|1|1A,5HCQ|1|1A,8VTX|1|1A,5HCQ|1|2A,7U2J|1|1A,8UD8|1|1A,8T8B|1|1A,4V8I|1|BA,8VTV|1|1A,5FDV|1|2A,7RQE|1|1A,8G2B|1|1A,6CAE|1|1A,8UD6|1|2A,5FDU|1|2A,8EKB|1|1A,7U2H|1|1A,9D7R|1|2A,8G29|1|2A,4V9H|1|BA,8UVS|1|1A,8T8B|1|2A,7RQE|1|2A,7U2J|1|2A,8VTX|1|2A,6CFL|1|1A,6XHX|1|1A,5DFE|1|YA,5IBB|1|1H,5IB7|1|1H,4WPO|1|AA,9O3L|1|1A,4V8I|1|DA,6XHX|1|2A,6CAE|1|2A,8UD8|1|2A,8UVR|1|1A,7U2H|1|2A,9D0H|1|2A,4WZD|1|14,8VTV|1|2A,7RQ8|1|1A,9MTR|1|2A,8EKB|1|2A,9D7T|1|2A,4WQ1|1|1H,8G2B|1|2A,9D7S|1|2A,8FC4|1|1A,6CFL|1|2A,5IBB|1|14,8T8C|1|1A,5DFE|1|RA,9D0G|1|2A,5E81|1|1H,8EV7|1|1A,7RQ8|1|2A,4WQ1|1|14,4WQR|1|1H,8UVR|1|2A,4WSM|1|1H,4WZD|1|1H,4V95|1|BA,8T8C|1|2A,5IB7|1|14,6XHY|1|1A,9O3J|1|2A,8FC4|1|2A,9O3H|1|2A,6CFK|1|1A,4Z8C|1|2A,8UVS|1|2A,5E81|1|14,7RQC|1|1A,4WSM|1|14,5W4K|1|1A,4WPO|1|CA,9O3I|1|1A,6XHY|1|2A,4WQR|1|14,5IB8|1|1H,7RQC|1|2A,6CFK|1|2A,8EV7|1|2A,4Z8C|1|1A,5HCR|1|2A,4WSD|1|1H,6OF1|1|1A,7AZO|1|23SA,5IB8|1|14,5HCR|1|1A,9O3L|1|2A,5J4B|1|1A,5NDK|1|1H,5J4B|1|2A,6CFJ|1|1A,7U2I|1|1A,4WSD|1|14,7AZO|1|23SB,5EL7|1|1H,4WQU|1|AA,7MD7|1|1A,8CVK|1|1A,6XHW|1|1A,1VY4|1|DA,6QNR|1|1H,5W4K|1|2A,7RQD|1|1A,4V9R|1|BA,1VY4|1|BA,5J8B|1|A,5WIS|1|1A,7U2I|1|2A,5NDK|1|14,5EL7|1|14,4WQF|1|AA,4V95|1|DA,6OF1|1|2A,4LNT|1|YA,5J4C|1|1A,8EV6|1|1A,4V8G|1|BA,5EL6|1|14,7MD7|1|2A,4W2I|1|BA,7RQD|1|2A,4V8D|1|BA,6XHV|1|1A,5EL4|1|1H,6XHW|1|2A,5HCP|1|1A,4V9S|1|BA,4V8G|1|DA,5J4C|1|2A,4W2G|1|BA,8G2D|1|1A,5HD1|1|1A,4W2H|1|DA,5HD1|1|2A,6QNQ|1|1H,4W2H|1|BA,4V6G|1|DA,4V9R|1|DA,4W4G|1|YA,8CVK|1|2A,4Z3S|1|1A,5HCP|1|2A,4W2G|1|DA,5EL6|1|1H,6CFJ|1|2A,4WT1|1|1H,6FKR|1|1A,9B00|1|1A,8CVJ|1|1A,4WT1|1|14,4W2I|1|DA,6ND5|1|1A,4W4G|1|RA,4WT8|1|C1,8EV6|1|2A,4V9S|1|DA,4V7M|1|BA,4V5F|1|DA,8G2D|1|2A,6XHV|1|2A,4V5J|1|DA,6QNR|1|14,7RQA|1|1A,9O3I|1|2A,6XQD|1|1A,5WIS|1|2A,6QNQ|1|14,5EL4|1|14,5HAU|1|1A,4Z3S|1|2A,4WT8|1|D1,4V8H|1|DA,6C5L|1|DA,4LNT|1|RA,4V5F|1|BA,4V8H|1|BA,4WR6|1|1H,6C5L|1|BA,5HAU|1|2A,7RQA|1|2A,6ND5|1|2A,4V8D|1|DA,4WRA|1|1H,4WU1|1|1H,4WQF|1|CA,4WR6|1|14,4WU1|1|14,4V6G|1|BA,4WRA|1|14,4W2F|1|DA,4W2F|1|BA,6FKR|1|2A,6XQD|1|2A,4V8B|1|BA,8CVL|1|1A,9B00|1|2A,8CVJ|1|2A,5E7K|1|1H,6O97|1|1A,4WQU|1|CA,4ZER|1|1A,4Y4P|1|1A,4WQY|1|AA,5NDJ|1|1H,4V7J|1|AA,1VY5|1|BA,1VY7|1|BA,5V8I|1|1A,5WIT|1|1A,5VP2|1|1A,7RQ9|1|1A,4V5J|1|BA,4Y4P|1|2A,5E7K|1|14,1VY5|1|DA,8CVL|1|2A,4ZER|1|2A,4V7J|1|BA,7JQM|1|1A,5DOY|1|1A,4V9B|1|DA,5EL5|1|1H,6O97|1|2A,5EL5|1|14,5DOY|1|2A,4V9B|1|BA,7RQ9|1|2A,1VY7|1|DA,4L47|1|YA,4YZV|1|RA,6GZQ|1|A1,5NDJ|1|14,4YZV|1|YA,4V8B|1|DA,4V5R|1|DA,4V5R|1|BA,4YPB|1|YA,7JQM|1|2A,5WIT|1|2A,5VP2|1|2A,7AZS|1|23SA,4YPB|1|RA,4WZO|1|1H,7JQL|1|1A,5V8I|1|2A,1VY6|1|BA,7AZS|1|23SB,4V87|1|AA,4WQY|1|CA,1VY6|1|DA,4TUD|1|YA,4ZSN|1|YA,4L47|1|RA,4ZSN|1|RA,6ND6|1|1A,7JQL|1|2A,4TUA|1|YA,4V5E|1|BA,4V5E|1|DA,4V8A|1|BA,5VPO|1|YA,4TUD|1|RA,4P6F|1|YA,4WZO|1|14,4V7K|1|AA,4TUE|1|YA,4V8Q|1|AA,4WRO|1|1H,4TUC|1|YA,6GSK|1|1H,4V5P|1|BA,4V5D|1|BA,4V5K|1|BA,6UO1|1|1A,4V7K|1|BA,4V5C|1|BA,4TUA|1|RA,4V87|1|DA,4WRO|1|14,6ND6|1|2A,4TUE|1|RA,4V8C|1|AA,4V83|1|DA,4V5P|1|DA,5F8K|1|1A,4V5Q|1|BA,4V5S|1|BA,4LT8|1|YA,4TUC|1|RA,4V5S|1|DA,4LSK|1|YA,6UO1|1|2A,4V83|1|BA,4V8A|1|AA,6XQE|1|1A,4V5C|1|DA,4V5D|1|DA,4V8C|1|BA,6GSK|1|14,4P6F|1|RA,4V8E|1|AA,4V5K|1|DA,4V5Q|1|DA,5VPO|1|RA,4TUB|1|YA,4V51|1|BA,5F8K|1|2A,4V97|1|DA,4V5L|1|BA,4LT8|1|RA,4V6F|1|DA,4V51|1|DA,4V90|1|BA,6XQE|1|2A,4V7M|1|DA,4W2E|1|A,4V9I|1|BA,4V8F|1|AA,4TUB|1|RA,4V8E|1|CA,7LH5|1|DA,4V9A|1|BA,4V9A|1|DA,4LSK|1|RA,4V9Q|1|CA,4V7Y|1|BA,1VVJ|1|YA,4V9I|1|DA,5DOX|1|2A,7LH5|1|BA,5CZP|1|RA,4V6F|1|AA,4V8F|1|DA,4V7Y|1|DA,5CZP|1|YA,4V9Q|1|AA,5DOX|1|1A,4V97|1|BA,1VVJ|1|RA,6B4V|1|B,4V9K|1|BA,4XEJ|1|B23S,4V9K|1|DA,6N9E|1|2A,4V7X|1|BA,6N9F|1|1A,6Q95|1|1,6N9E|1|1A,5OT7|1|4,6N9F|1|2A,6N1D|1|A23S,4P70|1|YA,6CZR|1|1A,4L71|1|YA,4XEJ|1|A23S,6N1D|1|B23S,6B4V|1|FB,4V7L|1|BA,4V84|1|DA,4P70|1|RA,4V7X|1|DA,4LFZ|1|YA,4V84|1|BA,8WV1|1|A,8WV1|1|a,4L71|1|RA,4V7W|1|BA,5UQ8|1|A,4LFZ|1|RA,4V67|1|BA,4V7W|1|DA,6UCQ|1|1A,4V7P|1|BA,4V7P|1|CA,6CZR|1|2A,4V67|1|DA,4V7L|1|DA,6UCQ|1|2A,5ZLU|1|V,5D8B|1|ZC,4V63|1|DA,5D8B|1|VC,4LEL|1|YA,4V63|1|BA,4V9L|1|BA,4V9M|1|BA,4V9L|1|DA,4LEL|1|RA,4V9M|1|DA,4V8J|1|DA,4V8J|1|BA,4V7Z|1|BA,4V4J|1|w,4V5G|1|DA,4V5G|1|BA,4V7Z|1|DA,6GZZ|1|A2,6GZZ|1|A1,4V4I|1|w,5UQ7|1|A,4V5A|1|DA,4V5A|1|BA,6GZX|1|A2,6GZX|1|A1,4V8O|1|BA,5IMQ|1|D,4V68|1|BA,4V5M|1|BA,5IMR|1|D,4V4R|1|BA,4V4S|1|BA,4V4T|1|BA,4V4X|1|BA,4V4Z|1|BA,4V4Y|1|BA,6GSJ|1|1H,6GSJ|1|14,5J4D|1|B,5J4D|1|GB,4V8N|1|BA,4V8X|1|DA,4V8X|1|BA,4V6A|1|BA,4V8N|1|DA,4V9N|1|DA,4V9N|1|BA,4V6A|1|DA,4V8U|1|BA,4V8U|1|DA,4V4P|1|AA,4V9J|1|DA,4V9J|1|BA,5A9Z|1|AA,5AA0|1|AA,6GSL|1|1H,6GSL|1|14,6BOK|1|B,6BOK|1|EB,6BOH|1|GB,6BOH|1|B,5VPP|1|YA,5VPP|1|RA,5J3C|1|YA,6OTR|1|RA,6ORD|1|YA,5J3C|1|RA,6OTR|1|YA,6ORD|1|RA,6OPE|1|RA,6OPE|1|YA,6NTA|1|RA,6NTA|1|YA,6BZ6|1|RA,6BZ6|1|YA,6OJ2|1|RA,6OJ2|1|YA,6OF6|1|YA,5J30|1|RA,6OF6|1|RA,6NUO|1|YA,5J30|1|YA,6OXA|1|RA,6NUO|1|RA,6OXA|1|YA,6NSH|1|YA,6NSH|1|RA,6OXI|1|RA,6OXI|1|YA,6BUW|1|YA,8FOM|1|RA,8FOM|1|YA,6BUW|1|RA,6NWY|1|YA,8FON|1|RA,6NWY|1|RA,8FON|1|YA,6NDK|1|RA,6NDK|1|YA,6BZ8|1|RA,6BZ8|1|YA,6BZ7|1|RA,6BZ7|1|YA,6O3M|1|YA,6O3M|1|RA,6OSI|1|RA,6OSI|1|YA,4V42|1|BA,4V5N|1|BA"
"NR_all_93941.1","2KYD|1|A+2KYD|1|B","2KYD|1|A+2KYD|1|B"
"NR_all_53209.1","2KZL|2|A","2KZL|2|A"
"NR_all_67384.5","7UW1|1|B","7UW1|1|B,7UVZ|1|B,7UVY|1|B,7UVW|1|B,7UVX|1|B,6YSI|1|5,7UVV|1|B,6YHS|1|5,7M4Y|1|B,7M4V|1|B,6V3A|1|B,7RYG|1|B,6V3B|1|B,7RYH|1|B,7M4X|1|B,6V3D|1|B,7M4W|1|B,6V39|1|B,7M4Z|1|B,7RYF|1|B"
"NR_all_42560.1","2ZI0|1|C+2ZI0|1|D","2ZI0|1|C+2ZI0|1|D"
"NR_all_29032.3","7B3D|1|T+7B3D|1|P","7B3D|1|T+7B3D|1|P,7B3B|1|T+7B3B|1|P,7OYG|1|H+7OYG|1|G,7OYG|1|T+7OYG|1|P"
"NR_all_58468.1","2L2J|1|A","2L2J|1|A"
"NR_all_99287.1","2L3C|1|B","2L3C|1|B"
"NR_all_31915.1","7B3C|1|T+7B3C|1|P","7B3C|1|T+7B3C|1|P"
"NR_all_30586.1","2L3J|1|B","2L3J|1|B"
"NR_all_98075.1","2ZZM|1|B","2ZZM|1|B"
"NR_all_12110.3","7NUQ|1|C","7NUQ|1|C,7BG6|1|C,7NUN|1|C"
"NR_all_46691.1","2L5D|1|B","2L5D|1|B"
"NR_all_79329.1","332D|1|A+332D|1|B","332D|1|A+332D|1|B"
"NR_all_39445.1","2L8C|1|A+2L8C|1|B","2L8C|1|A+2L8C|1|B"
"NR_all_99060.1","353D|1|A+353D|1|B","353D|1|A+353D|1|B"
"NR_all_24333.1","2L8H|1|A","2L8H|1|A"
"NR_all_34610.3","364D|1|C+364D|1|B+364D|1|A","364D|1|C+364D|1|B+364D|1|A,357D|1|C+357D|1|B+357D|1|A"
"NR_all_68992.1","2L8W|1|A+2L8W|1|B","2L8W|1|A+2L8W|1|B"
"NR_all_73526.1","361D|1|A","361D|1|A"
"NR_all_43481.6","7UW1|1|a","7UW1|1|a,7UVZ|1|a,7UVY|1|a,7UVW|1|a,7UVX|1|a,7UVV|1|a,7M4Y|1|a,7M4W|1|a,7M4X|1|a,7M4U|1|a,7RYG|1|a,7RYH|1|a,6YT9|1|2+6YT9|1|4,7M4Z|1|a,6V3A|1|sN1,6YPU|1|2+6YPU|1|4,6V3B|1|sN1,7RYF|1|a,6V39|1|sN1,6YTF|1|3,6V3E|1|sN1,6YS5|1|3"
"NR_all_39015.1","2L9E|5|A","2L9E|5|A"
"NR_all_70871.3","377D|1|A+377D|1|B","377D|1|A+377D|1|B,377D|1|C+377D|1|D"
"NR_all_31352.5","2LAC|1|A","2LAC|1|A,2LA9|1|A,2LBQ|7|A"
"NR_all_96653.1","387D|1|A","387D|1|A"
"NR_all_85404.2","398D|1|C+398D|1|D","398D|1|C+398D|1|D,398D|1|A+398D|1|B"
"NR_all_20441.1","2LBK|3|A","2LBK|3|A"
"NR_all_65114.3","3A2K|1|C","3A2K|1|C,3A2K|1|D"
"NR_all_65926.1","2LBR|3|A","2LBR|3|A"
"NR_all_90840.9","8G9Z|1|E","8G9Z|1|E,7MDL|1|E,4ZDO|1|E,3A3A|1|A,4ZDP|1|E,4RQE|1|B,4RQE|1|D,4RQF|1|C,3HL2|1|E,7ZJW|1|F"
"NR_all_58100.1","2LDL|10|A","2LDL|10|A"
"NR_all_97147.1","2LEB|1|B","2LEB|1|B"
"NR_all_36729.1","2LHP|1|A","2LHP|1|A"
"NR_all_79142.1","2LI8|1|B","2LI8|1|B"
"NR_all_86763.2","7BPG|1|G+7BPG|1|H","7BPG|1|G+7BPG|1|H,7BPG|1|E+7BPG|1|F,7BPG|1|C+7BPG|1|D,7BPG|1|A+7BPG|1|B"
"NR_all_97142.1","2LK3|1|A","2LK3|1|A"
"NR_all_47748.2","3A6P|1|D+3A6P|1|E","3A6P|1|D+3A6P|1|E,3A6P|1|I+3A6P|1|J"
"NR_all_07880.1","2LP9|1|A","2LP9|1|A"
"NR_all_63789.3","3ADD|1|C","3ADD|1|C,3ADD|1|D,3ADB|1|D,3ADB|1|C,3ADC|1|C,3ADC|1|D"
"NR_all_24187.3","7UVV|1|v","7UVV|1|v,7UVY|1|v,7UVW|1|v,6V3A|1|v,7UVZ|1|v,7M4Y|1|v,6V39|1|v,7M4X|1|v,7RYG|1|v,7RYF|1|v"
"NR_all_73553.1","7BV2|1|T+7BV2|1|P","7BV2|1|T+7BV2|1|P"
"NR_all_01422.1","2LQZ|1|A","2LQZ|1|A"
"NR_all_86209.1","7C06|1|1","7C06|1|1"
"NR_all_29611.1","2LUB|1|A","2LUB|1|A"
"NR_all_80263.1","2LVY|11|A+2LVY|11|B","2LVY|11|A+2LVY|11|B"
"NR_all_93513.1","3ADI|1|D+3ADI|1|E","3ADI|1|D+3ADI|1|E"
"NR_all_94472.1","2LX1|1|A+2LX1|1|B","2LX1|1|A+2LX1|1|B"
"NR_all_65768.1","3AEV|1|C","3AEV|1|C"
"NR_all_19527.2","2M18|1|A","2M18|1|A,2M18|1|B,2M18|1|C,2M18|1|D"
"NR_all_04229.1","9NH5|1|Z+9NH5|1|Y","9NH5|1|Z+9NH5|1|Y,9NH6|1|Z+9NH6|1|Y,6V4X|1|Z+6V4X|1|Y,9NB1|1|Z+9NB1|1|Y,9N96|1|Z+9N96|1|Y"
"NR_all_04935.5","3AKZ|1|E","3AKZ|1|E,3AL0|1|E,3AKZ|1|F,3AKZ|1|H,3AKZ|1|G,4YVJ|1|C,4YVI|1|C,4YVK|1|C"
"NR_all_27009.1","2M1O|1|A+2M1O|1|B","2M1O|1|A+2M1O|1|B"
"NR_all_68707.3","7C06|1|X","7C06|1|X,7C06|1|O,7C08|1|X"
"NR_all_26101.1","2M21|10|A","2M21|10|A"
"NR_all_34714.1","2M23|1|A+2M23|1|B","2M23|1|A+2M23|1|B"
"NR_all_67835.3","7C07|1|C","7C07|1|C,7C07|1|L,7C07|1|F,7C07|1|U,7C07|1|R"
"NR_all_56976.1","2M4W|3|A","2M4W|3|A"
"NR_all_13919.1","3AM1|1|B","3AM1|1|B"
"NR_all_16834.1","6VA2|1|A+6VA2|1|B","6VA2|1|A+6VA2|1|B"
"NR_all_09285.1","2M58|5|A","2M58|5|A"
"NR_all_70322.1","6VA4|10|A+6VA4|10|B","6VA4|10|A+6VA4|10|B"
"NR_all_43721.1","2M8D|1|A","2M8D|1|A"
"NR_all_99259.1","6VEM|1|A+6VEM|1|B","6VEM|1|A+6VEM|1|B"
"NR_all_93248.1","7C07|1|O","7C07|1|O"
"NR_all_87508.1","2MB0|1|A","2MB0|1|A"
"NR_all_87008.1","3AOI|1|U","3AOI|1|U"
"NR_all_65098.1","7C08|1|1","7C08|1|1"
"NR_all_18684.1","2MF1|1|G","2MF1|1|G"
"NR_all_29245.1","3AVU|1|T+3AVU|1|G","3AVU|1|T+3AVU|1|G"
"NR_all_24667.1","7C08|1|O","7C08|1|O"
"NR_all_55371.1","3AVW|1|T+3AVW|1|G","3AVW|1|T+3AVW|1|G"
"NR_all_38094.1","7C45|1|D","7C45|1|D"
"NR_all_44976.3","2MFE|1|D","2MFE|1|D,2MFG|1|B,2MFG|1|D,2MFE|1|B"
"NR_all_41068.1","3AVY|1|G","3AVY|1|G"
"NR_all_52791.1","6VPC|1|A+6VPC|1|C+6VPC|1|D","6VPC|1|A+6VPC|1|C+6VPC|1|D"
"NR_all_44985.1","7C7L|1|C+7C7L|1|D+7C7L|1|E","7C7L|1|C+7C7L|1|D+7C7L|1|E"
"NR_all_35987.3","3B0U|1|B","3B0U|1|B,3B0U|1|A"
"NR_all_39499.1","6VRC|1|B","6VRC|1|B"
"NR_all_77859.3","7CGK|1|B","7CGK|1|B,7CGG|1|B"
"NR_all_49365.2","2MFF|1|B","2MFF|1|B,2MFF|1|D"
"NR_all_64404.4","3TUP|1|T","3TUP|1|T,3B0V|1|A,3B0V|1|B,4V4Z|1|AD,4V4X|1|AD"
"NR_all_36895.1","7CGH|1|B","7CGH|1|B"
"NR_all_75234.1","2MFH|1|B","2MFH|1|B"
"NR_all_21826.1","6VU1|1|A","6VU1|1|A"
"NR_all_31724.1","7CGJ|1|B","7CGJ|1|B"
"NR_all_32342.1","2MGZ|1|C","2MGZ|1|C"
"NR_all_34877.3","6VWL|1|4","6VWL|1|4,6VWM|1|4,6VWN|1|4"
"NR_all_24803.1","7CGM|1|B","7CGM|1|B"
"NR_all_21226.1","2MI0|1|A","2MI0|1|A"
"NR_all_12803.1","2MIY|5|A","2MIY|5|A"
"NR_all_51903.1","2MKI|1|B","2MKI|1|B"
"NR_all_42576.1","6VZ2|1|7+6VZ2|1|5+6VZ2|1|6","6VZ2|1|7+6VZ2|1|5+6VZ2|1|6"
"NR_all_19931.4","7LS2|1|n2","7LS2|1|n2,7CPU|1|S6,7CPV|1|S6,9H4N|1|n2,7LS1|1|n2"
"NR_all_20602.1","2MKN|1|B+2MKN|1|C","2MKN|1|B+2MKN|1|C"
"NR_all_29604.3","6W2T|1|A","6W2T|1|A,6W2S|1|0"
"NR_all_45368.1","2MNC|1|A","2MNC|1|A"
"NR_all_43471.1","6W3M|3|A","6W3M|3|A"
"NR_all_85927.1","2MQP|1|B","2MQP|1|B"
"NR_all_31329.1","6W62|1|B","6W62|1|B"
"NR_all_11127.3","7CXM|1|J+7CXM|1|I","7CXM|1|J+7CXM|1|I,7CXN|1|J+7CXN|1|I"
"NR_all_88343.1","2MQQ|1|C","2MQQ|1|C"
"NR_all_64006.4","6W6V|1|A","6W6V|1|A,7C7A|1|A,7C79|1|A"
"NR_all_58396.3","7CXM|1|L","7CXM|1|L,7CXN|1|L"
"NR_all_88351.1","2MQV|1|B","2MQV|1|B"
"NR_all_46784.1","7CYQ|1|J+7CYQ|1|I","7CYQ|1|J+7CYQ|1|I"
"NR_all_45079.1","2MS1|1|B","2MS1|1|B"
