#fragment_ID	aligned_regions	alignment_score	P-value
1S72_0:2314-2315_2424-2431_2457-2460		3.5	1
1S72_0:2314-2315_2424-2431_2457-2460		3.5	1
1S72_0:2837-2840_2655-2658_2082-2086		3.5	1
1S72_0:2721-2723_2031-2039_1737-1742		3.5	1
1S72_0:2475-2478_763-767_890-897		3.5	1
1S72_0:2518-2523_2491-2499_1128-1131		3.4	1
1S72_0:2518-2523_2491-2499_2524-2525		3.4	1
1S72_0:1816-1818_1750-1758_2027-2030		3.4	1
1S72_0:1750-1758_2027-2030_1816-1818		3.4	1
1S72_0:1043-1048_1079-1080_1063-1067		3.4	1
1S72_0:1043-1048_1063-1067_1079-1080		3.4	1
1S72_0:832-836_1374-1375_844-846		3.4	1
1S72_0:615-618_533-537_2057-2062		3.4	1
1S72_0:533-537_615-618_2057-2062		3.4	1
1S72_0:520-526_14-18		3.4	1
1S72_0:2029-2036_1739-1745_1750-1754		3.4	1
1S72_0:910-914_926-929_1037-1040	0:'0'912-0:'0'912,7:'0'930-8:'0'931,9:'0'1039-10:'0'1040	3.4	1
1S72_0:477-478_26-30_449-454	0:'0'479-0:'0'479,3:'0'29-4:'0'30,8:'0'452-9:'0'453	3.4	1
1S72_0:1963-1965_1966-1968_1943-1945	2:'0'1967-2:'0'1967,3:'0'1968-3:'0'1968,6:'0'1945-6:'0'1945	3.4	1
1S72_0:1699-1701_1402-1407_1713-1717		3.4	1
1S72_0:1104-1108_1252-1255_1098-1103		3.4	1
1S72_0:2476-2479_2100-2108_916-924		3.4	1
1S72_0:2476-2479_916-924_2100-2108		3.4	1
1S72_0:839-843_832-836_844-846		3.4	1
1S72_0:832-836_839-843_844-846		3.4	1
1S72_0:834-835_831-833_844-847		3.4	1
1S72_0:405-413_424-428_191-193	9:'0'426-9:'0'426,16:'0'195-16:'0'195	3.4	1
1S72_0:123-133_113-114_139-145		3.4	1
1S72_0:113-114_123-133_139-145		3.4	1
1S72_0:1851-1858_1867-1876	3:'0'1856-3:'0'1856,14:'0'1875-14:'0'1875	3.4	1
1S72_0:2655-2658_2837-2840_2082-2086		3.4	1
1S72_0:2029-2032_1739-1740_1743-1754		3.4	1
1S72_0:203-208_227-232_434-436		3.4	1
1S72_0:1128-1131_2491-2499_2518-2523		3.3	1
1S72_0:2027-2030_1816-1818_1750-1758		3.3	1
1S72_0:1110-1115_1242-1250		3.3	1
1S72_0:1037-1040_926-929_910-914		3.3	1
1S72_0:142-145_123-133_42-43		3.3	1
1S72_0:2353-2355_2325-2330_2363-2372		3.3	1
1S72_0:2325-2330_2353-2355_2363-2372		3.3	1
1S72_0:2728-2731_1809-1816_2748-2751		3.3	1
1S72_0:1402-1407_1713-1717_1699-1701		3.3	1
1S72_0:1229-1235_2521-2525_2491-2496		3.3	1
1S72_0:916-924_2476-2479_2100-2108		3.3	1
1S72_0:916-924_2100-2108_2476-2479		3.3	1
1S72_0:911-916_1037-1043_924-929		3.3	1
1S72_0:139-145_123-133_113-114		3.3	1
1S72_0:113-114_139-145_123-133		3.3	1
1S72_0:85-87_82-84_54-60		3.3	1
1S72_0:82-84_54-60_85-87		3.3	1
1S72_0:54-57_82-87_58-60		3.3	1
1S72_0:82-87_58-60_54-57		3.3	1
1S72_0:1851-1860_1865-1871		3.3	1
1S72_0:2773-2775_2555-2560_2570-2576		3.3	1
1S72_0:2023-2025_1993-1998_1987-1990		3.3	1
1S72_0:1993-1998_2023-2025_1987-1990		3.3	1
1S72_0:1993-1998_1987-1990_2023-2025		3.3	1
1S72_0:434-436_203-208_227-232		3.3	1
1S72_0:51-54_61-72_102-105		3.3	1
1S72_0:2837-2840_2651-2656_2086-2089	1:'0'2840-1:'0'2840,10:'0'2088-10:'0'2088	3.2	1
1S72_0:2629-2636_2624-2628_2113-2114	0:'0'2631-0:'0'2631,14:'0'2116-14:'0'2116	3.2	1
1S72_0:2491-2499_1128-1131_2518-2523		3.2	1
1S72_0:2524-2525_2491-2499_2518-2523		3.2	1
1S72_0:1758-1762_1810-1811_1778-1783		3.2	1
1S72_0:1670-1674_1446-1452_1489-1491		3.2	1
1S72_0:1063-1067_1079-1080_1043-1048		3.2	1
1S72_0:1063-1067_1043-1048_1079-1080		3.2	1
1S72_0:144-147_129-130_40-43	0:'0'146-0:'0'146,5:'0'132-5:'0'132	3.2	1
1S72_0:2311-2315_2422-2426_2357-2360	5:'0'2424-5:'0'2424,13:'0'2362-13:'0'2362	3.2	1
1S72_0:1414-1417_1674-1677_1443-1450		3.2	1
1S72_0:911-917_1040-1043_922-926	6:'0'919-6:'0'919,11:'0'924-11:'0'924	3.2	1
1S72_0:2071-2073_626-633_617-621		3.2	1
1S72_0:2071-2073_617-621_626-633		3.2	1
1S72_0:431-434_188-192_232-235		3.2	1
1S72_0:123-133_142-145_42-43		3.2	1
1S72_0:26-30_477-478_449-454	0:'0'28-0:'0'28,6:'0'480-6:'0'480	3.2	1
1S72_0:2649-2651_2645-2648_2089-2095	6:'0'2650-6:'0'2650,11:'0'2095-11:'0'2095	3.2	1
1S72_0:2649-2651_2089-2095_2645-2648	9:'0'2097-9:'0'2097,10:'0'2647-10:'0'2647	3.2	1
1S72_0:2550-2556_2577-2578_2573-2576	6:'0'2558-6:'0'2558,9:'0'2575-9:'0'2575	3.2	1
1S72_0:2728-2731_2748-2751_1809-1816	2:'0'2732-2:'0'2732,4:'0'2750-4:'0'2750	3.2	1
1S72_0:1449-1451_1670-1675_1446-1448	2:'0'1453-2:'0'1453,5:'0'1674-5:'0'1674	3.2	1
1S72_0:1434-1437_1686-1692_1424-1430		3.2	1
1S72_0:1716-1719_1398-1402_1378-1380	0:'0'1718-0:'0'1718,8:'0'1404-8:'0'1404	3.2	1
1S72_0:123-133_139-145_113-114		3.2	1
1S72_0:58-60_82-87_54-57	8:'0'89-8:'0'89,10:'0'57-10:'0'57	3.2	1
1S72_0:1832-1836_2640-2642_1837-1841		3.2	1
1S72_0:2885-2889_2864-2869		3.2	1
1S72_0:2555-2560_2570-2576_2773-2775		3.2	1
1S72_0:2490-2495_2522-2527	0:'0'2492-0:'0'2492,11:'0'2529-11:'0'2529	3.2	1
1S72_0:2049-2053_1371-1375_836-841	1:'0'2052-1:'0'2052,5:'0'1373-5:'0'1373	3.2	1
1S72_0:1371-1375_2049-2053_836-841		3.2	1
1S72_0:1371-1375_836-841_2049-2053		3.2	1
1S72_0:836-841_2049-2053_1371-1375		3.2	1
1S72_0:836-841_1371-1375_2049-2053		3.2	1
1S72_0:890-897_2475-2478_763-767		3.2	1
1S72_0:2475-2478_890-897_763-767		3.2	1
1S72_0:718-724_935-936_700-705	3:'0'723-3:'0'723,12:'0'705-12:'0'705	3.2	1
1S72_0:2604-2607_628-633_618-621		3.2	1
1S72_0:2486-2489_622-628_2067-2073		3.2	1
1S72_0:2486-2489_2067-2073_622-628		3.2	1
1S72_0:2067-2073_2486-2489_622-628		3.2	1
1S72_0:1108-1110_577-581_573-576	2:'0'1112-2:'0'1112,11:'0'578-11:'0'578	3.2	1
1S72_0:203-208_434-436_227-232		3.2	1
1S72_0:1816-1818_2027-2030_1750-1758		3.1	1
1S72_0:1079-1080_1063-1067_1043-1048		3.1	1
1S72_0:615-618_2057-2062_533-537		3.1	1
1S72_0:533-537_2057-2062_615-618		3.1	1
1S72_0:2645-2650_2090-2095_2608-2614		3.1	1
1S72_0:2029-2036_1750-1754_1739-1745		3.1	1
1S72_0:1674-1677_1414-1417_1443-1450		3.1	1
1S72_0:910-914_1037-1040_926-929		3.1	1
1S72_0:926-929_1037-1040_910-914		3.1	1
1S72_0:432-435_231-235_188-192		3.1	1
1S72_0:2091-2093_2088-2090_2647-2652		3.1	1
1S72_0:1432-1439_1422-1428		3.1	1
1S72_0:1098-1103_1252-1255_1104-1108		3.1	1
1S72_0:924-929_1037-1043_911-916		3.1	1
1S72_0:832-836_844-846_839-843		3.1	1
1S72_0:831-833_834-835_844-847		3.1	1
1S72_0:405-413_191-193_424-428		3.1	1
1S72_0:2837-2840_2082-2086_2655-2658		3.1	1
1S72_0:2023-2025_1987-1990_1993-1998		3.1	1
1S72_0:1987-1990_2023-2025_1993-1998		3.1	1
1S72_0:2029-2032_1743-1754_1739-1740		3.1	1
1S72_0:2031-2039_2721-2723_1737-1742		3.1	1
1S72_0:613-616_536-540		3.1	1
1S72_0:2904-2905_2842-2847_2830-2834		3	1
1S72_0:2842-2847_2904-2905_2830-2834		3	1
1S72_0:2491-2499_2524-2525_2518-2523		3	1
1S72_0:1758-1762_1778-1783_1810-1811		3	1
1S72_0:1810-1811_1758-1762_1778-1783		3	1
1S72_0:1810-1811_1778-1783_1758-1762		3	1
1S72_0:1778-1783_1810-1811_1758-1762		3	1
1S72_0:2027-2030_1750-1758_1816-1818		3	1
1S72_0:2608-2614_2645-2650_2090-2095		3	1
1S72_0:1040-1043_922-926_911-917		3	1
1S72_0:836-844_2052-2053_1686-1691		3	1
1S72_0:2091-2093_2647-2652_2088-2090		3	1
1S72_0:2748-2751_2728-2731_1809-1816		3	1
1S72_0:1449-1451_1446-1448_1670-1675		3	1
1S72_0:1446-1448_1670-1675_1449-1451		3	1
1S72_0:1430-1435_1427-1429_1390-1393		3	1
1S72_0:1686-1692_1434-1437_1424-1430		3	1
1S72_0:1229-1235_2491-2496_2521-2525		3	1
1S72_0:2100-2108_2476-2479_916-924		3	1
1S72_0:924-929_911-916_1037-1043		3	1
1S72_0:911-916_924-929_1037-1043		3	1
1S72_0:1865-1871_1851-1860		3	1
1S72_0:1832-1836_1837-1841_2640-2642		3	1
1S72_0:2555-2560_2773-2775_2570-2576		3	1
1S72_0:1987-1990_1993-1998_2023-2025		3	1
1S72_0:1113-1119_1240-1246	4:'0'1119-5:'0'1120,11:'0'1246-11:'0'1246	3	1
1S72_0:1349-1353_901-905_1297-1301		3	1
1S72_0:901-905_1349-1353_1297-1301		3	1
1S72_0:935-936_718-724_700-705		3	1
1S72_0:622-628_2067-2073_2486-2489		3	1
1S72_0:2067-2073_622-628_2486-2489		3	1
1S72_0:102-105_51-54_61-72		3	1
1S72_0:61-72_102-105_51-54		3	1
1S72_0:51-54_102-105_61-72		3	1
1S72_0:2086-2089_2837-2840_2651-2656		2.9	1
1S72_0:1242-1250_1110-1115		2.9	1
1S72_0:2476-2478_757-764_894-900		2.9	1
1S72_0:2550-2555_2574-2578_2597-2600		2.9	1
1S72_0:2645-2650_2608-2614_2090-2095		2.9	1
1S72_0:922-926_1040-1043_911-917		2.9	1
1S72_0:1686-1691_836-844_2052-2053		2.9	1
1S72_0:836-844_1686-1691_2052-2053		2.9	1
1S72_0:626-633_2071-2073_617-621		2.9	1
1S72_0:617-621_2071-2073_626-633		2.9	1
1S72_0:2060-2062_530-533_2079-2083		2.9	1
1S72_0:530-533_2060-2062_2079-2083		2.9	1
1S72_0:2491-2496_2521-2525_1229-1235		2.9	1
1S72_0:2491-2496_1229-1235_2521-2525		2.9	1
1S72_0:1118-1120_1114-1117_1240-1246		2.9	1
1S72_0:1114-1117_1118-1120_1240-1246		2.9	1
1S72_0:1252-1255_1098-1103_1104-1108		2.9	1
1S72_0:655-660_740-745_696-700		2.9	1
1S72_0:2082-2086_2655-2658_2837-2840		2.9	1
1S72_0:1430-1433_1389-1396_1383-1387		2.9	1
1S72_0:2550-2557_2572-2576_2773-2774		2.8	1
1S72_0:2467-2469_2112-2116_2629-2631		2.8	1
1S72_0:2112-2116_2629-2631_2467-2469		2.8	1
1S72_0:1672-1674_1446-1453_1488-1489	10:'0'1455-10:'0'1455,11:'0'1490-11:'0'1490	2.8	1
1S72_0:2520-2521_1228-1229_1124-1129	6:'0'1128-7:'0'1129	2.8	1
1S72_0:1374-1375_844-846_832-836		2.8	1
1S72_0:2057-2062_615-618_533-537		2.8	1
1S72_0:2458-2464_2312-2315_2423-2427	7:'0'2314-7:'0'2314,11:'0'2425-11:'0'2425	2.8	1
1S72_0:2090-2095_2608-2614_2645-2650		2.8	1
1S72_0:1674-1677_1443-1450_1414-1417		2.8	1
1S72_0:926-929_910-914_1037-1040		2.8	1
1S72_0:922-926_911-917_1040-1043		2.8	1
1S72_0:626-633_617-621_2071-2073	7:'0'635-7:'0'635,9:'0'620-9:'0'620	2.8	1
1S72_0:449-454_26-30_477-478		2.8	1
1S72_0:2325-2330_2363-2372_2353-2355		2.8	1
1S72_0:1670-1675_1449-1451_1446-1448		2.8	1
1S72_0:1699-1701_1713-1717_1402-1407		2.8	1
1S72_0:1201-1205_1192-1194_1189-1191		2.8	1
1S72_0:834-835_844-847_831-833		2.8	1
1S72_0:831-833_844-847_834-835		2.8	1
1S72_0:696-700_740-745_655-660	0:'0'698-0:'0'698,5:'0'742-5:'0'742	2.8	1
1S72_0:740-745_696-700_655-660		2.8	1
1S72_0:58-60_54-57_82-87	5:'0'58-5:'0'58,11:'0'88-11:'0'88	2.8	1
1S72_0:622-628_2486-2489_2067-2073		2.8	1
1S72_0:2904-2905_2830-2834_2842-2847		2.7	1
1S72_0:2842-2847_2830-2834_2904-2905		2.7	1
1S72_0:2604-2608_2543-2546		2.7	1
1S72_0:2550-2557_2773-2774_2572-2576		2.7	1
1S72_0:1778-1783_1758-1762_1810-1811		2.7	1
1S72_0:444-448_30-35		2.7	1
1S72_0:14-18_520-526		2.7	1
1S72_0:911-917_922-926_1040-1043		2.7	1
1S72_0:449-454_477-478_26-30		2.7	1
1S72_0:1430-1435_1390-1393_1427-1429		2.7	1
1S72_0:1349-1353_1297-1301_901-905		2.7	1
1S72_0:901-905_1297-1301_1349-1353		2.7	1
1S72_0:2830-2834_2904-2905_2842-2847		2.6	1
1S72_0:2112-2116_2467-2469_2629-2631		2.6	1
1S72_0:2597-2600_2550-2555_2574-2578		2.6	1
1S72_0:2550-2555_2597-2600_2574-2578		2.6	1
1S72_0:1686-1691_2052-2053_836-844		2.6	1
1S72_0:431-434_232-235_188-192		2.6	1
1S72_0:477-478_449-454_26-30		2.6	1
1S72_0:1943-1945_1966-1968_1963-1965		2.6	1
1S72_0:1943-1945_1963-1965_1966-1968		2.6	1
1S72_0:1963-1965_1943-1945_1966-1968		2.6	1
1S72_0:1689-1693_1680-1688_840-841		2.6	1
1S72_0:1689-1693_840-841_1680-1688		2.6	1
1S72_0:840-841_1689-1693_1680-1688		2.6	1
1S72_0:1427-1429_1390-1393_1430-1435		2.6	1
1S72_0:1192-1194_1201-1205_1189-1191		2.6	1
1S72_0:1114-1117_1240-1246_1118-1120		2.6	1
1S72_0:1252-1255_1104-1108_1098-1103		2.6	1
1S72_0:844-846_839-843_832-836		2.6	1
1S72_0:696-700_655-660_740-745		2.6	1
1S72_0:2640-2642_1832-1836_1837-1841		2.6	1
1S72_0:1389-1396_1383-1387_1430-1433		2.6	1
1S72_0:1389-1396_1430-1433_1383-1387		2.6	1
1S72_0:102-105_61-72_51-54		2.6	1
1S72_0:2773-2774_2550-2557_2572-2576		2.5	1
1S72_0:2629-2631_2112-2116_2467-2469		2.5	1
1S72_0:2467-2469_2629-2631_2112-2116		2.5	1
1S72_0:1442-1446_1500-1504_1416-1418		2.5	1
1S72_0:2052-2053_1686-1691_836-844		2.5	1
1S72_0:2312-2313_2287-2290_2291-2293		2.5	1
1S72_0:2291-2293_2287-2290_2312-2313		2.5	1
1S72_0:2287-2290_2312-2313_2291-2293		2.5	1
1S72_0:2287-2290_2291-2293_2312-2313		2.5	1
1S72_0:1966-1968_1963-1965_1943-1945		2.5	1
1S72_0:1240-1246_1114-1117_1118-1120		2.5	1
1S72_0:2561-2565_2692-2693		2.5	1
1S72_0:1674-1675_1445-1450_1501-1505		2.5	1
1S72_0:2830-2834_2842-2847_2904-2905		2.4	1
1S72_0:2552-2556_2797-2798_2573-2578		2.4	1
1S72_0:1442-1446_1416-1418_1500-1504		2.4	1
1S72_0:1416-1418_1442-1446_1500-1504		2.4	1
1S72_0:2057-2062_533-537_615-618		2.4	1
1S72_0:30-35_444-448		2.4	1
1S72_0:2060-2062_2079-2083_530-533		2.4	1
1S72_0:530-533_2079-2083_2060-2062		2.4	1
1S72_0:1390-1393_1427-1429_1430-1435	4:'0'1429-4:'0'1429,12:'0'1437-12:'0'1437	2.4	1
1S72_0:844-846_832-836_839-843		2.4	1
1S72_0:655-660_696-700_740-745		2.4	1
1S72_0:1837-1841_1832-1836_2640-2642		2.4	1
1S72_0:536-540_613-616		2.4	1
1S72_0:2797-2798_2552-2556_2573-2578		2.3	1
1S72_0:2552-2556_2573-2578_2797-2798		2.3	1
1S72_0:2560-2563_2568-2570		2.3	1
1S72_0:1713-1717_1699-1701_1402-1407		2.3	1
1S72_0:1713-1717_1402-1407_1699-1701		2.3	1
1S72_0:1118-1120_1240-1246_1114-1117		2.3	1
1S72_0:1240-1246_1118-1120_1114-1117		2.3	1
1S72_0:37-39_440-441_438-439		2.3	1
1S72_0:2629-2631_2467-2469_2112-2116		2.2	1
1S72_0:2052-2053_836-844_1686-1691		2.2	1
1S72_0:2079-2083_2060-2062_530-533		2.2	1
1S72_0:1390-1393_1430-1435_1427-1429		2.2	1
1S72_0:440-441_37-39_438-439		2.2	1
1S72_0:440-441_438-439_37-39		2.2	1
1S72_0:1297-1301_1349-1353_901-905		2.2	1
1S72_0:1297-1301_901-905_1349-1353		2.2	1
1S72_0:1966-1968_1943-1945_1963-1965		2.1	1
1S72_0:2692-2693_2561-2565		2.1	1
1S72_0:2079-2083_530-533_2060-2062		2	1
1S72_0:844-847_834-835_831-833		2	1
1S72_0:2640-2642_1837-1841_1832-1836		2	1
1S72_0:1240-1246_1113-1119		2	1
1S72_0:2592-2593_1989-1993		1.9	1
1S72_0:2312-2313_2291-2293_2287-2290		1.9	1
1S72_0:2291-2293_2312-2313_2287-2290		1.9	1
1S72_0:1837-1841_2640-2642_1832-1836		1.9	1
1S72_0:2864-2869_2885-2889		1.9	1
1S72_0:844-847_831-833_834-835		1.8	1
1S72_0:131-142	4:'0'137-7:'0'140	1.6	1
1S72_0:2543-2546_2604-2608		1.5	1
1S72_0:1989-1993_2592-2593		1.5	1
1S72_0:2568-2570_2560-2563		1.5	1
1S72_0:551-552_603-605		1.5	1
1S72_0:603-605_551-552		1.4	1
